,gene_symbol
1563,CHST11
1564,HSPB8
1565,HK1
1566,HSPE1
1567,ECHDC2
1568,RGS4
1569,TMEM25
1570,HELQ
1571,UROC1
1572,LDHB
1573,AGO2
1574,MAGEH1
1575,MLYCD
1576,FAM167B
1577,ZNF653
1578,CTDNEP1
1579,UBAP1L
1580,GRN
1581,RPS14
1582,MGST3
1583,CEACAM6
1584,MFSD9
1585,PRPH2
1586,OR5I1
1587,PAXBP1
1588,SS18
1589,CHAD
1590,SLC9A3R1
1591,BGLAP
1592,B3GALT1
1593,CLLU1
1594,POTEB2
1595,IL17RA
1596,ROPN1
1597,SMC1B
1598,TRAJ14
1599,GKN2
1600,IGLV10-54
1601,RASGRP3
1602,GOLGA6L9
1603,ZNF229
1604,TTC27
1605,NEMF
1606,GDAP1L1
1607,AP5M1
1608,TMEM104
1609,MFSD8
1610,COG1
1611,IGHV3-48
1612,ZNF140
1613,ZNF282
1614,SERPINB9
1615,HIST1H4G
1616,GUCA2A
1617,CCDC141
1618,PPFIA1
1619,CD248
1620,IGHV3-49
1621,HIST1H4J
1622,TPSG1
1623,PSG1
1624,CFAP157
1625,SAP30L
1626,CYB5R4
1627,SLC22A5
1628,PRAC2
1629,AGAP6
1630,SMCR8
1631,PANK4
1632,HEATR1
1633,CD83
1634,RBM28
1635,SLC12A5
1636,NXF2B
