,transcript_ID
797,ENST00000463328
798,ENST00000259043
799,ENST00000414862
800,ENST00000466832
801,ENST00000487615
802,ENST00000456380
803,ENST00000382191
804,ENST00000465245
805,ENST00000485530
806,ENST00000493864
807,ENST00000477939
808,ENST00000471134
809,ENST00000480461
810,ENST00000342294
811,ENST00000429429
812,ENST00000489418
813,ENST00000318386
814,ENST00000483348
815,ENST00000488267
816,ENST00000480936
817,ENST00000509702
818,ENST00000264867
819,ENST00000613098
820,ENST00000506055
821,ENST00000513205
822,ENST00000509642
823,ENST00000617484
824,ENST00000612355
825,ENST00000508380
826,ENST00000512169
827,ENST00000507342
828,ENST00000381793
829,ENST00000381795
830,ENST00000510871
831,ENST00000295971
832,ENST00000514014
833,ENST00000515053
834,ENST00000513473
835,ENST00000505414
836,ENST00000514782
837,ENST00000511598
838,ENST00000511902
839,ENST00000505220
840,ENST00000358602
841,ENST00000558247
842,ENST00000509867
843,ENST00000330838
844,ENST00000561029
845,ENST00000514252
846,ENST00000639793
847,ENST00000326639
848,ENST00000507259
849,ENST00000508648
850,ENST00000506199
851,ENST00000503725
852,ENST00000514866
853,ENST00000281722
854,ENST00000510397
855,ENST00000512640
856,ENST00000273814
857,ENST00000509465
858,ENST00000515182
859,ENST00000502309
860,ENST00000510286
861,ENST00000442003
862,ENST00000538197
863,ENST00000345451
864,ENST00000507071
865,ENST00000259997
866,ENST00000382395
867,ENST00000382401
868,ENST00000503926
869,ENST00000509684
870,ENST00000514479
871,ENST00000515534
872,ENST00000503714
873,ENST00000505469
874,ENST00000514517
875,ENST00000507380
876,ENST00000514494
877,ENST00000515809
878,ENST00000507180
879,ENST00000513044
880,ENST00000344157
881,ENST00000355665
882,ENST00000579690
883,ENST00000507529
884,ENST00000506175
885,ENST00000505251
886,ENST00000510746
887,ENST00000254799
888,ENST00000505068
889,ENST00000545193
890,ENST00000499044
891,ENST00000502323
892,ENST00000514161
893,ENST00000506453
894,ENST00000508091
895,ENST00000510127
896,ENST00000513908
897,ENST00000560507
898,ENST00000559367
899,ENST00000395719
900,ENST00000359707
901,ENST00000357854
902,ENST00000507133
903,ENST00000507947
904,ENST00000510902
905,ENST00000503660
906,ENST00000502654
907,ENST00000507745
908,ENST00000513927
909,ENST00000509100
910,ENST00000511146
911,ENST00000515457
912,ENST00000507252
913,ENST00000511868
914,ENST00000509561
915,ENST00000508510
916,ENST00000499709
917,ENST00000507701
918,ENST00000313899
919,ENST00000514325
920,ENST00000353341
921,ENST00000514671
922,ENST00000352301
923,ENST00000508119
924,ENST00000513584
925,ENST00000509263
926,ENST00000507010
927,ENST00000515432
928,ENST00000503822
929,ENST00000509107
930,ENST00000344442
931,ENST00000512589
932,ENST00000509061
933,ENST00000509622
934,ENST00000508577
935,ENST00000513553
936,ENST00000504079
937,ENST00000505034
938,ENST00000324052
939,ENST00000505216
940,ENST00000507443
941,ENST00000503316
942,ENST00000511529
943,ENST00000512361
944,ENST00000503898
945,ENST00000512292
946,ENST00000508819
947,ENST00000394288
948,ENST00000432347
949,ENST00000507377
950,ENST00000421491
951,ENST00000296581
952,ENST00000515311
953,ENST00000503982
954,ENST00000502781
955,ENST00000504181
956,ENST00000510331
957,ENST00000507449
958,ENST00000260010
959,ENST00000297183
960,ENST00000360839
961,ENST00000421134
962,ENST00000246149
963,ENST00000412116
964,ENST00000506930
965,ENST00000265069
966,ENST00000514356
967,ENST00000510369
968,ENST00000507465
969,ENST00000361059
970,ENST00000504203
971,ENST00000502929
972,ENST00000394800
973,ENST00000394805
974,ENST00000502499
975,ENST00000510056
976,ENST00000503811
977,ENST00000618441
978,ENST00000620916
979,ENST00000505625
980,ENST00000502422
981,ENST00000265271
982,ENST00000360453
983,ENST00000394320
984,ENST00000461780
985,ENST00000309241
986,ENST00000403750
987,ENST00000523519
988,ENST00000520578
989,ENST00000394123
990,ENST00000522761
991,ENST00000356245
992,ENST00000518726
993,ENST00000519832
994,ENST00000507878
995,ENST00000517947
996,ENST00000522367
997,ENST00000520177
998,ENST00000520006
999,ENST00000522666
1000,ENST00000336314
1001,ENST00000518297
1002,ENST00000524248
1003,ENST00000523163
1004,ENST00000518595
1005,ENST00000518742
1006,ENST00000265085
1007,ENST00000520867
1008,ENST00000334035
1009,ENST00000519835
1010,ENST00000519152
1011,ENST00000522336
1012,ENST00000517880
1013,ENST00000519467
1014,ENST00000502988
1015,ENST00000505366
1016,ENST00000505204
1017,ENST00000391338
1018,ENST00000161863
1019,ENST00000503857
1020,ENST00000515883
1021,ENST00000514720
1022,ENST00000506333
1023,ENST00000512600
1024,ENST00000507567
1025,ENST00000314940
1026,ENST00000509990
1027,ENST00000506147
1028,ENST00000512107
1029,ENST00000514694
1030,ENST00000509644
1031,ENST00000505016
1032,ENST00000502394
1033,ENST00000512876
1034,ENST00000513678
1035,ENST00000513121
1036,ENST00000504045
1037,ENST00000504311
1038,ENST00000511249
1039,ENST00000507860
1040,ENST00000509918
1041,ENST00000511978
1042,ENST00000508689
1043,ENST00000514528
1044,ENST00000504643
1045,ENST00000514488
1046,ENST00000503340
1047,ENST00000504023
1048,ENST00000515833
1049,ENST00000514402
1050,ENST00000511333
1051,ENST00000502944
1052,ENST00000512040
1053,ENST00000616482
1054,ENST00000394723
1055,ENST00000511151
1056,ENST00000394722
1057,ENST00000490185
1058,ENST00000465435
1059,ENST00000506755
1060,ENST00000462121
1061,ENST00000431508
1062,ENST00000433049
1063,ENST00000435794
1064,ENST00000432301
1065,ENST00000475148
1066,ENST00000495578
1067,ENST00000421706
1068,ENST00000542735
1069,ENST00000508019
1070,ENST00000434684
1071,ENST00000492495
1072,ENST00000520132
1073,ENST00000199814
1074,ENST00000447771
1075,ENST00000522469
1076,ENST00000518917
1077,ENST00000521248
1078,ENST00000521594
1079,ENST00000521464
1080,ENST00000627077
1081,ENST00000517616
1082,ENST00000518892
1083,ENST00000521577
1084,ENST00000519931
1085,ENST00000518194
1086,ENST00000518677
1087,ENST00000522272
1088,ENST00000519194
1089,ENST00000524187
1090,ENST00000286307
1091,ENST00000518141
1092,ENST00000522344
1093,ENST00000358344
1094,ENST00000506339
1095,ENST00000355836
1096,ENST00000514633
1097,ENST00000515193
1098,ENST00000506259
1099,ENST00000504898
1100,ENST00000504796
1101,ENST00000393432
1102,ENST00000502904
1103,ENST00000442819
1104,ENST00000356731
1105,ENST00000515481
1106,ENST00000514332
1107,ENST00000329433
1108,ENST00000510411
1109,ENST00000510678
1110,ENST00000523449
1111,ENST00000524179
1112,ENST00000519033
1113,ENST00000521720
1114,ENST00000502632
1115,ENST00000519958
1116,ENST00000523136
1117,ENST00000504549
1118,ENST00000514731
1119,ENST00000521173
1120,ENST00000523921
1121,ENST00000503105
1122,ENST00000504779
1123,ENST00000520415
1124,ENST00000518548
1125,ENST00000508103
1126,ENST00000506721
1127,ENST00000523137
1128,ENST00000505811
1129,ENST00000510431
1130,ENST00000519056
1131,ENST00000522958
1132,ENST00000521790
1133,ENST00000504348
1134,ENST00000513225
1135,ENST00000524180
1136,ENST00000513972
1137,ENST00000519943
1138,ENST00000519707
1139,ENST00000519455
1140,ENST00000515158
1141,ENST00000521116
1142,ENST00000505087
1143,ENST00000515714
1144,ENST00000512273
1145,ENST00000503664
1146,ENST00000630639
1147,ENST00000515446
1148,ENST00000513230
1149,ENST00000522256
1150,ENST00000518602
1151,ENST00000281156
1152,ENST00000370336
1153,ENST00000529410
1154,ENST00000526087
1155,ENST00000361794
1156,ENST00000533560
1157,ENST00000528385
1158,ENST00000368139
1159,ENST00000526019
1160,ENST00000368136
1161,ENST00000361752
1162,ENST00000330430
1163,ENST00000371374
1164,ENST00000306764
1165,ENST00000405162
1166,ENST00000635857
1167,ENST00000637759
1168,ENST00000345080
1169,ENST00000355585
1170,ENST00000640338
1171,ENST00000638626
1172,ENST00000367122
1173,ENST00000361758
1174,ENST00000275262
1175,ENST00000392127
1176,ENST00000453779
1177,ENST00000361195
1178,ENST00000424802
1179,ENST00000545607
1180,ENST00000544436
1181,ENST00000537041
1182,ENST00000537124
